 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 6.    Time:   0: 6:38
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -340.047 0.3437   0.4680E-01  0.1880E-03 -0.4811E-01  0.1305E-02      -1  -0.215E-02   20.00
   2    -2.0000    -340.047 0.3437   0.4680E-01  0.1880E-03 -0.4680E-01  0.1305E-02      -1  -0.209E-02   20.00
   3    -4.0000    -340.047 0.3437   0.4680E-01  0.1880E-03  0.4985E-01  0.1305E-02      -1   0.223E-02   20.00
   4    -6.0000    -332.402 0.3618   0.5700E-01  0.2010E-03  0.4475E-01  0.1305E-02      -1   0.200E-02   20.00
   5    -8.0000    -332.402 0.3618   0.5700E-01  0.2010E-03 -0.5700E-01  0.1305E-02      -1  -0.255E-02   20.00
   6   -10.0000    -332.402 0.3618   0.5700E-01  0.2010E-03 -0.5700E-01  0.1305E-02      -1  -0.255E-02   20.00
   7   -12.0000    -332.402 0.3618   0.5700E-01  0.2010E-03 -0.5700E-01  0.1305E-02      -1  -0.255E-02   20.00
   8   -14.0000    -332.402 0.3618   0.5700E-01  0.2010E-03 -0.5700E-01  0.1305E-02      -1  -0.255E-02   20.00
   9   -16.0000    -332.402 0.3618   0.5700E-01  0.2010E-03 -0.5700E-01  0.1305E-02      -1  -0.255E-02   20.00
  10   -18.0000    -332.402 0.3618   0.5700E-01  0.2010E-03 -0.5700E-01  0.1305E-02      -1  -0.255E-02   20.00
  11   -20.0000    -332.402 0.3618   0.5700E-01  0.2010E-03  0.9140E-01  0.1305E-02      -1   0.409E-02   20.00
  12   -22.0000    -323.370 0.3280   0.7941E-01  0.2112E-03  0.8020E-01  0.1305E-02      -1   0.359E-02   20.00
  13   -24.0000    -323.370 0.3280   0.7941E-01  0.2112E-03 -0.7941E-01  0.1305E-02      -1  -0.355E-02   20.00
  14   -26.0000    -323.370 0.3280   0.7941E-01  0.2112E-03 -0.7941E-01  0.1305E-02      -1  -0.355E-02   20.00
