 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 6.    Time:   0: 6:38
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       23  0.1000000E+01  0.19523E+00    2       46    -4    -5     T
       26  0.2000000E+01  0.37500E+00    2       52    -4    -5     T
       28  0.3000000E+01  0.50000E+00    2       56    -4    -5     T
       50  0.4000000E+01  0.19550E+00    2      100    -4    -5     T
       53  0.5000000E+01  0.37500E+00    2      106    -4    -5     T
       55  0.6000000E+01  0.50000E+00    2      110    -4    -5     T
       57  0.7000000E+01  0.50000E+00    2      114    -4    -5     T
       58  0.8000000E+01  0.10000E+01    2      116    -4    -5     T
       59  0.9000000E+01  0.10000E+01    2      118    -4    -5     T
       60  0.1000000E+02  0.10000E+01    2      120    -4    -5     T
       61  0.1100000E+02  0.10000E+01    2      122    -4    -5     T
       62  0.1200000E+02  0.10000E+01    2      124    -4    -5     T
       63  0.1300000E+02  0.10000E+01    2      126    -4    -5     T
       64  0.1400000E+02  0.10000E+01    2      128    -4    -5     T
       65  0.1500000E+02  0.10000E+01    2      130    -4    -5     T
       66  0.1600000E+02  0.10000E+01    2      132    -4    -5     T
       67  0.1700000E+02  0.10000E+01    2      134    -4    -5     T
       68  0.1800000E+02  0.10000E+01    2      136    -4    -5     T
       69  0.1900000E+02  0.10000E+01    2      138    -4    -5     T
       70  0.2000000E+02  0.10000E+01    2      140    -4    -5     T
       71  0.2100000E+02  0.10000E+01    2      142    -4    -5     T
       72  0.2200000E+02  0.10000E+01    2      144    -4    -5     T
       73  0.2300000E+02  0.10000E+01    2      146    -4    -5     T
       74  0.2400000E+02  0.10000E+01    2      148    -4    -5     T
       75  0.2500000E+02  0.10000E+01    2      150    -4    -5     T
       76  0.2600000E+02  0.10000E+01    3      153    -4    -5     T
      100  0.2700000E+02  0.15636E+00    4      214    -4    -5     T
      105  0.2800000E+02  0.25714E+00    4      232    -4    -5     T
      109  0.2900000E+02  0.25000E+00    2      243    -4    -5     T
      111  0.3000000E+02  0.50000E+00    2      247    -4    -5     T
      113  0.3100000E+02  0.50000E+00    2      251    -4    -5     T
      114  0.3200000E+02  0.10000E+01    2      253    -4    -5     T
      115  0.3300000E+02  0.10000E+01    2      255    -4    -5     T
      116  0.3400000E+02  0.10000E+01    2      257    -4    -5     T
      117  0.3500000E+02  0.10000E+01    2      259    -4    -5     T
      118  0.3600000E+02  0.10000E+01    3      262    -4    -5     T
      119  0.3700000E+02  0.10000E+01    3      265    -4    -5     T
      120  0.3800000E+02  0.10000E+01    2      267    -4    -5     T
      121  0.3900000E+02  0.10000E+01    3      270    -4    -5     T
      143  0.4000000E+02  0.19550E+00    2      316    -4    -5     T
      147  0.4100000E+02  0.25000E+00    2      326    -4    -5     T
      175  0.4200000E+02  0.11724E+00    4      411    -4    -5     T
      181  0.4300000E+02  0.35556E+00    3      432    -4    -5     T
      184  0.4400000E+02  0.33333E+00    2      439    -4    -5     T
      186  0.4500000E+02  0.50000E+00    2      443    -4    -5     T
      187  0.4600000E+02  0.10000E+01    2      445    -4    -5     T
      188  0.4700000E+02  0.10000E+01    3      448    -4    -5     T
      189  0.4800000E+02  0.10000E+01    3      451    -4    -5     T
      190  0.4900000E+02  0.10000E+01    3      454    -4    -5     T
      191  0.5000000E+02  0.10000E+01    3      457    -4    -5     T
      192  0.5100000E+02  0.10000E+01    3      460    -4    -5     T
      214  0.5200000E+02  0.19550E+00    2      504    -4    -5     T
      217  0.5300000E+02  0.37500E+00    2      511    -4    -5     T
      219  0.5400000E+02  0.50000E+00    2      515    -4    -5     T
      221  0.5500000E+02  0.50000E+00    2      519    -4    -5     T
      243  0.5600000E+02  0.19550E+00    2      563    -4    -5     T
      246  0.5700000E+02  0.37500E+00    2      570    -4    -5     T
