 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 6.    Time:   0: 6:38
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000 -0.23935E+00  0.25978E+00 -0.23935E+00  0.25978E+00 -0.52479E-01 -0.23935E+00  0.25978E+00 -0.23935E+00  0.25978E+00 -0.53487E-01 -0.28515E+03 -0.33091E+03 -0.33871E+03  0.00000E+00  0.26959E-07  0.69837E+02  0.26000E+00  0.20647E-01     23  0.00000E+00      0.000
       2.0000  0.60389E-02  0.20415E+00  0.60390E-02  0.20415E+00 -0.50649E-01 -0.23331E+00  0.46393E+00 -0.23324E+00  0.46393E+00 -0.10467E+00 -0.34113E+03 -0.33794E+03 -0.34388E+03  0.00000E+00  0.26959E-07  0.69562E+02  0.27000E+00  0.36756E-01     26  0.00000E+00      0.000
       3.0000  0.67484E-02  0.21215E+00  0.67483E-02  0.21215E+00 -0.49069E-01 -0.22657E+00  0.67608E+00 -0.22652E+00  0.67608E+00 -0.15414E+00 -0.36211E+03 -0.34472E+03 -0.34833E+03  0.00000E+00  0.26959E-07  0.69298E+02  0.28000E+00  0.53485E-01     28  0.00000E+00      0.000
       4.0000 -0.11775E+00  0.15799E+00 -0.11775E+00  0.15799E+00 -0.47994E-01 -0.34432E+00  0.83407E+00 -0.34427E+00  0.83407E+00 -0.20259E+00 -0.33251E+03 -0.34689E+03 -0.35134E+03  0.00000E+00  0.29133E-06  0.69209E+02  0.41000E+00  0.65731E-01     50  0.00000E+00      0.000
       5.0000  0.30552E-01  0.38472E+00  0.30552E-01  0.38472E+00 -0.45492E-01 -0.31377E+00  0.12188E+01 -0.31400E+00  0.12188E+01 -0.24910E+00 -0.38387E+03 -0.35728E+03 -0.35829E+03  0.00000E+00  0.29133E-06  0.68804E+02  0.41000E+00  0.95998E-01     53  0.00000E+00      0.000
       6.0000  0.31471E-01  0.39698E+00  0.31471E-01  0.39698E+00 -0.42376E-01 -0.28230E+00  0.16158E+01 -0.28256E+00  0.16158E+01 -0.29227E+00 -0.41276E+03 -0.36950E+03 -0.36713E+03  0.00000E+00  0.29133E-06  0.68338E+02  0.41000E+00  0.12744E+00     55  0.00000E+00      0.000
       7.0000  0.33028E-01  0.41425E+00  0.33028E-01  0.41425E+00 -0.39076E-01 -0.24927E+00  0.20300E+01 -0.24958E+00  0.20300E+01 -0.33220E+00 -0.43983E+03 -0.38267E+03 -0.37642E+03  0.00000E+00  0.29133E-06  0.67860E+02  0.41000E+00  0.16042E+00     57  0.00000E+00      0.000
       8.0000  0.35047E-01  0.44009E+00  0.34917E-01  0.44009E+00 -0.35763E-01 -0.21422E+00  0.24701E+01 -0.21466E+00  0.24701E+01 -0.36796E+00 -0.46581E+03 -0.39675E+03 -0.38627E+03  0.00000E+00  0.29133E-06  0.67375E+02  0.41000E+00  0.19534E+00     58  0.00000E+00      0.000
